country,item_name,veg,non_veg,egg,vegan,quantity_type,quantity,base_cost,calories_kcal,protein_g,fat_g,carbohydrates_g,fiber_g,sugar_g,sodium_mg,USD,EUR,GBP,INR,CNY,BRL,JPY,AUD,CAD,SGD,AED,SAR
,Almond Butter,0,0,0,1,g,100,55,614,21.0,56.0,19.0,10.0,4.0,5,0.58,0.50,0.43,55.00,3.96,2.89,90.72,0.81,0.79,0.74,2.13,2.18
India,Aloo Baingan,0,0,0,1,g,100,35,115,2.5,5,14,3,2,135,0.37,0.32,0.27,35,2.52,1.84,57.73,0.52,0.5,0.47,1.35,1.38
India,Aloo Bhujia,0,0,0,1,g,100,18,550,6.5,35.0,51.0,3.0,2.0,700,0.19,0.16,0.14,18.00,1.30,0.94,29.69,0.27,0.26,0.24,0.70,0.71
India,Aloo Fry,0,0,0,1,g,100,30,150,2,7,18,2,1.5,140,0.32,0.27,0.23,30,2.16,1.57,49.49,0.44,0.43,0.4,1.16,1.19
India,Aloo Gobi,0,0,0,1,g,100,35,110,3,4,15,3,2,130,0.37,0.32,0.27,35,2.52,1.84,57.73,0.52,0.5,0.47,1.35,1.38
India,Aloo Jeera,0,0,0,1,g,100,30,145,2,6,19,2,1.2,130,0.32,0.27,0.23,30,2.16,1.57,49.49,0.44,0.43,0.4,1.16,1.19
India,Aloo Ke Gutke,0,0,0,1,g,100,30,140,2.5,6,18,2,1.5,160,0.32,0.27,0.23,30,2.16,1.57,49.49,0.44,0.43,0.4,1.16,1.19
India,Aloo Matar,0,0,0,1,g,100,35,120,3,5,16,3,2,140,0.37,0.32,0.27,35,2.52,1.84,57.73,0.52,0.5,0.47,1.35,1.38
India,Aloo Palak,0,0,0,1,g,100,35,105,3,4,14,3,1.5,130,0.37,0.32,0.27,35,2.52,1.84,57.73,0.52,0.5,0.47,1.35,1.38
,Aloo Paratha,1,0,0,0,unit,1,25,210,5,7,31,3,1.5,220,0.26,0.23,0.19,25,1.8,1.31,41.24,0.37,0.36,0.34,0.97,0.99
India,Aloo Pitika,0,0,0,1,g,100,25,95,2,3,15,2,1.5,130,0.26,0.23,0.19,25,1.8,1.31,41.24,0.37,0.36,0.34,0.97,0.99
India,Aloo Posto,1,0,0,0,g,100,35,160,3,9,16,3,1.5,140,0.37,0.32,0.27,35,2.52,1.84,57.73,0.52,0.5,0.47,1.35,1.38
India,Aloo Puri,1,0,0,0,unit,1,40,260,5,10,36,3,2,220,0.42,0.36,0.31,40,2.88,2.1,65.98,0.59,0.58,0.54,1.55,1.58
India,Aloo Tikki,1,0,0,0,unit,1,15,130,2,6,17,2,1,150,0.16,0.14,0.12,15,1.08,0.79,24.74,0.22,0.22,0.2,0.58,0.59
,Aluva,1,0,0,0,g,100,30,103.73,21.63,1.8,0,0,0,44.86,0.32,0.27,0.23,30,2.16,1.57,49.49,0.44,0.43,0.4,1.16,1.19
,Amanatsu Orange,0,0,0,1,unit,1,15,45,0.8,0.2,11,1.5,8.5,1,0.16,0.14,0.12,15,1.08,0.79,24.74,0.22,0.22,0.2,0.58,0.59
,Amaranth,1,0,0,0,g,100,4,24.98,3.17,0.35,0.84,5.33,0.14,15.96,0.04,0.04,0.03,4,0.29,0.21,6.6,0.06,0.06,0.05,0.15,0.16
,Amaranth leaves,1,0,0,0,g,100,4,31.87,3.44,0.6,1.06,4.64,0.25,16.07,0.04,0.04,0.03,4,0.29,0.21,6.6,0.06,0.06,0.05,0.15,0.16
,Amaranth seed,1,0,0,0,g,100,12,356,13.93,5.65,58.42,7.24,0.84,2.75,0.13,0.11,0.09,12,0.86,0.63,19.79,0.18,0.17,0.16,0.46,0.47
,Ambarella,0,0,0,1,unit,1,18,41,0.5,0.3,9,0.7,7,2,0.19,0.16,0.14,18,1.3,0.94,29.69,0.27,0.26,0.24,0.7,0.71
,Ambrosia Melon,0,0,0,1,unit,1,35,34,0.8,0.2,8.6,0.9,7.9,16,0.37,0.32,0.27,35,2.52,1.84,57.73,0.52,0.5,0.47,1.35,1.38
,Amla Juice,0,0,0,1,ml,100,20,44,0.5,0.2,10,0.5,5,2,0.21,0.18,0.16,20,1.44,1.05,32.99,0.29,0.29,0.27,0.77,0.79
India,Amritsari Fish,0,1,0,0,g,100,170,230,17,15,7,0.5,0.8,340,1.79,1.53,1.33,170,12.23,8.92,280.42,2.51,2.45,2.29,6.58,6.72
India,Amritsari Kulcha,1,0,0,0,unit,1,30,220,6,6,34,2,2,220,0.32,0.27,0.23,30,2.16,1.57,49.49,0.44,0.43,0.4,1.16,1.19
,Anarsa,0,0,0,1,unit,1,15,170,2,6,26,0.5,13,20,0.16,0.14,0.12,15,1.08,0.79,24.74,0.22,0.22,0.2,0.58,0.59
,Anchovy,1,0,0,0,g,100,30,87.72,19.88,0.78,0,0,0,212,0.32,0.27,0.23,30,2.16,1.57,49.49,0.44,0.43,0.4,1.16,1.19
India,Andhra Chicken Curry,0,1,0,0,g,100,150,230,20,14,6,1,1.5,360,1.58,1.35,1.17,150,10.79,7.87,247.43,2.21,2.16,2.02,5.8,5.93
,Angakar Roti,0,0,0,1,unit,1,20,130,3,1.5,26,2.5,0.4,15,0.21,0.18,0.16,20,1.44,1.05,32.99,0.29,0.29,0.27,0.77,0.79
,Anishi (Fermented Yam Cake),0,0,0,1,g,100,45,120,2,2,24,3,1.5,60,0.47,0.41,0.35,45,3.24,2.36,74.23,0.66,0.65,0.61,1.74,1.78
Austria,Apfelstrudel,1,0,0,0,unit,1,22,220,2.8,10.0,31.0,1.6,15.0,120,0.23,0.20,0.17,22.00,1.58,1.15,36.29,0.32,0.32,0.30,0.84,0.86
,Apong (Rice Beer),0,0,0,1,ml,100,20,60,0.5,0,13,0,2,5,0.21,0.18,0.16,20,1.44,1.05,32.99,0.29,0.29,0.27,0.77,0.79
,Apong-based sweets,1,0,0,0,unit,1,20,160,2,4,28,0.5,12,20,0.21,0.18,0.16,20,1.44,1.05,32.99,0.29,0.29,0.27,0.77,0.79
India,Appam,1,0,0,0,unit,1,15,120,2,2,23,1,0.5,90,0.16,0.14,0.12,15,1.08,0.79,24.74,0.22,0.22,0.2,0.58,0.59
India,Appam with Coconut Milk,0,0,0,1,unit,1,18,165,3.0,5.5,25.0,1.0,1.8,120,0.19,0.16,0.14,18.00,1.30,0.94,29.69,0.27,0.26,0.24,0.70,0.71
,Apple,1,0,0,0,unit,1,36,60.41,0.33,0.57,9.22,2.31,9.22,1.39,0.38,0.32,0.28,36,2.59,1.89,59.38,0.53,0.52,0.48,1.39,1.42
,Apple Juice,0,0,0,1,ml,100,20,46,0.1,0.1,11.3,0.2,9.6,4,0.21,0.18,0.16,20,1.44,1.05,32.99,0.29,0.29,0.27,0.77,0.79
United States,Apple Pie,1,0,0,0,unit,1,40,237,2.4,11.0,34.0,1.7,16.0,170,0.42,0.36,0.31,40.00,2.88,2.10,65.98,0.59,0.58,0.54,1.54,1.58
,Apricot,1,0,0,0,unit,1,5,186.07,2.32,0.69,39.72,1.95,15.04,2.77,0.05,0.05,0.04,5,0.36,0.26,8.25,0.07,0.07,0.07,0.19,0.2
India,Arbi Sabzi,0,0,0,1,g,100,35,140,2,6,20,4,1.5,130,0.37,0.32,0.27,35,2.52,1.84,57.73,0.52,0.5,0.47,1.35,1.38
,Arecanut,1,0,0,0,g,100,50,316.12,4.99,4.77,59.18,10.06,2.76,11.57,0.53,0.45,0.39,50,3.6,2.62,82.48,0.74,0.72,0.67,1.93,1.98
,Ari fish,0,1,0,0,g,100,30,99.19,22.01,1.11,0,0,0,37.35,0.32,0.27,0.23,30,2.16,1.57,49.49,0.44,0.43,0.4,1.16,1.19
India,Ariselu,1,0,0,0,unit,1,20,180,2,7,28,1,15,18,0.21,0.18,0.16,20,1.44,1.05,32.99,0.29,0.29,0.27,0.77,0.79
,Aronia,0,0,0,1,unit,1,8,47,1.4,0.5,9.6,5.3,4.3,1,0.08,0.07,0.06,8,0.58,0.42,13.2,0.12,0.12,0.11,0.31,0.32
Panama,Arroz con Pollo,0,1,0,0,g,100,24,170,7.8,4.8,22.8,0.9,1.1,260,0.25,0.22,0.19,24.00,1.73,1.26,39.59,0.35,0.35,0.32,0.92,0.94
,Arsa,0,0,0,1,unit,1,15,150,1.5,4,28,0.5,12,20,0.16,0.14,0.12,15,1.08,0.79,24.74,0.22,0.22,0.2,0.58,0.59
India,Arsa Buhchiar,0,1,0,0,g,100,160,250,17,18,4,0.5,0.8,320,1.69,1.44,1.25,160,11.51,8.4,263.92,2.36,2.3,2.15,6.19,6.32
,Asafoetida,1,0,0,0,g,100,300,331.5,6.34,1.26,37.76,5.13,0.93,16.04,3.16,2.7,2.34,300,21.58,15.74,494.85,4.42,4.32,4.03,11.61,11.85
,Asam Kumbang,0,0,0,1,unit,1,12,65,0.8,0.3,15,2.5,11,2,0.13,0.11,0.09,12,0.86,0.63,19.79,0.18,0.17,0.16,0.46,0.47
,Ash gourd,1,0,0,0,g,100,2,17.45,0.79,0.14,1.2,3.37,0.19,0.77,0.02,0.02,0.02,2,0.14,0.1,3.3,0.03,0.03,0.03,0.08,0.08
,Assam Tea,0,0,0,1,ml,100,10,20,0.2,0,4,0,3.5,5,0.11,0.09,0.08,10,0.72,0.52,16.5,0.15,0.14,0.13,0.39,0.4
El Salvador,Atol de Elote,1,0,0,0,ml,100,12,96,2.1,1.9,17.8,0.8,8.5,65,0.13,0.11,0.09,12.00,0.86,0.63,19.79,0.18,0.17,0.16,0.48,0.49
Latvia,Auksta Zupa,1,0,0,0,ml,100,12,48,1.8,2.2,5.1,0.7,2.0,120,0.13,0.11,0.09,12.00,0.86,0.63,19.79,0.18,0.17,0.16,0.48,0.49
,Avial,1,0,0,0,g,100,35,120,2.5,8,10,3,2,150,0.37,0.32,0.27,35,2.52,1.84,57.73,0.52,0.5,0.47,1.35,1.38
,Avocado,0,0,0,1,unit,1,40,160,2,14.7,8.5,6.7,0.7,7,0.42,0.36,0.31,40,2.88,2.1,65.98,0.59,0.58,0.54,1.55,1.58
,Avocado fruit,1,0,0,0,unit,1,40,144.36,2.95,13.86,1.75,6.69,1.65,2.81,0.42,0.36,0.31,40,2.88,2.1,65.98,0.59,0.58,0.54,1.55,1.58
India,Awadhi Biryani,0,1,0,0,unit,1,180,540,19,21,66,3,3.5,760,1.9,1.62,1.4,180,12.95,9.45,296.91,2.65,2.59,2.42,6.96,7.11
,Axone (Fermented Soybean),0,0,0,1,g,100,55,155,12,8,10,3,1,180,0.58,0.5,0.43,55,3.96,2.89,90.72,0.81,0.79,0.74,2.13,2.17
,Açaí,0,0,0,1,unit,1,25,70,1,5,4,2,2,4,0.26,0.23,0.19,25,1.8,1.31,41.24,0.37,0.36,0.34,0.97,0.99
,Baati,0,0,0,1,unit,1,20,170,4,4,28,2,1,170,0.21,0.18,0.16,20,1.44,1.05,32.99,0.29,0.29,0.27,0.77,0.79
,Babru,1,0,0,0,unit,1,20,180,4,6,25,2,1,140,0.21,0.18,0.16,20,1.44,1.05,32.99,0.29,0.29,0.27,0.77,0.79
Portugal,Bacalhau a Bras,0,1,0,0,g,100,36,190,12.0,10.0,13.0,1.0,1.2,420,0.38,0.32,0.28,36.00,2.59,1.89,59.38,0.53,0.52,0.48,1.40,1.43
,Bacon,0,1,0,0,g,100,250,541,37,42,1.4,0,0,1717,2.63,2.25,1.95,250,17.99,13.12,412.38,3.68,3.6,3.36,9.67,9.88
India,Badam Milk,1,0,0,0,ml,100,12,88,3.2,4.5,9.0,0.3,8.0,46,0.13,0.11,0.09,12.00,0.86,0.63,19.79,0.18,0.17,0.16,0.48,0.49
,Bael,0,0,0,1,unit,1,20,88,1.8,0.3,21.2,2.9,16,5,0.21,0.18,0.16,20,1.44,1.05,32.99,0.29,0.29,0.27,0.77,0.79
,Bael fruit,1,0,0,0,unit,1,25,135.99,2.63,0.57,23.55,6.31,16.35,1.56,0.26,0.23,0.19,25,1.8,1.31,41.24,0.37,0.36,0.34,0.97,0.99
,Bael Juice,0,0,0,1,ml,100,20,60,0.6,0.1,15,0.4,12,3,0.21,0.18,0.16,20,1.44,1.05,32.99,0.29,0.29,0.27,0.77,0.79
India,Bafauri,1,0,0,0,unit,1,20,90,5,2,14,3,0.8,80,0.21,0.18,0.16,20,1.44,1.05,32.99,0.29,0.29,0.27,0.77,0.79
India,Bagara Rice,1,0,0,0,unit,1,80,320,5,10,50,2,1.5,250,0.84,0.72,0.62,80,5.76,4.2,131.96,1.18,1.15,1.08,3.1,3.16
United States,Bagel,1,0,0,0,unit,1,18,245,9.0,1.5,48.0,2.0,5.0,430,0.19,0.16,0.14,18.00,1.30,0.94,29.69,0.27,0.26,0.24,0.70,0.71
,Bai,0,0,0,1,g,100,30,75,2.5,2,10,3,1.5,110,0.32,0.27,0.23,30,2.16,1.57,49.49,0.44,0.43,0.4,1.16,1.19
,Baingan Bharta,0,0,0,1,g,100,35,100,2,5,11,4,3,140,0.37,0.32,0.27,35,2.52,1.84,57.73,0.52,0.5,0.47,1.35,1.38
,Baingan Masala,0,0,0,1,g,100,40,120,2.5,7,11,3,2,150,0.42,0.36,0.31,40,2.88,2.1,65.98,0.59,0.58,0.54,1.55,1.58
India,Bajji,1,0,0,0,unit,1,12,120,2,6,14,1.2,1,145,0.13,0.11,0.09,12,0.86,0.63,19.79,0.18,0.17,0.16,0.46,0.47
,Bajra,1,0,0,0,g,100,3.8,347.99,10.96,5.43,56.02,11.49,0.81,4.11,0.04,0.03,0.03,3.8,0.27,0.2,6.27,0.06,0.05,0.05,0.15,0.15
India,Bajra Khichdi,0,0,0,1,unit,1,60,250,7,5,40,4,1,180,0.63,0.54,0.47,60,4.32,3.15,98.97,0.88,0.86,0.81,2.32,2.37
India,Bajra Roti,0,0,0,1,unit,1,15,110,3,1,22,2.5,0.4,8,0.16,0.14,0.12,15,1.08,0.79,24.74,0.22,0.22,0.2,0.58,0.59
,Bakarkhani,1,0,0,0,unit,1,20,190,4,7,28,1,4,160,0.21,0.18,0.16,20,1.44,1.05,32.99,0.29,0.29,0.27,0.77,0.79
Greece,Baklava,1,0,0,0,unit,1,18,170,2.4,9.8,18.0,0.8,12.0,45,0.19,0.16,0.14,18.00,1.30,0.94,29.69,0.27,0.26,0.24,0.70,0.71
India,Bal Mithai,1,0,0,0,unit,1,20,170,3,6,24,0.5,16,35,0.21,0.18,0.16,20,1.44,1.05,32.99,0.29,0.29,0.27,0.77,0.79
India,Balushahi,1,0,0,0,unit,1,15,160,2,7,22,0.3,14,25,0.16,0.14,0.12,15,1.08,0.79,24.74,0.22,0.22,0.2,0.58,0.59
,Bamboo shoot,1,0,0,0,g,100,5,16.25,1.33,0.35,0.6,1.55,0.09,1.12,0.05,0.05,0.04,5,0.36,0.26,8.25,0.07,0.07,0.07,0.19,0.2
,Bamboo Shoot Curry,0,0,0,1,g,100,35,90,2,4,11,3,1.5,140,0.37,0.32,0.27,35,2.52,1.84,57.73,0.52,0.5,0.47,1.35,1.38
,Bamboo Shoot Fry,0,0,0,1,g,100,35,100,2,5,11,3,1.5,140,0.37,0.32,0.27,35,2.52,1.84,57.73,0.52,0.5,0.47,1.35,1.38
,Bamboo Shoots,0,0,0,1,unit,1,15,27,2.6,0.3,5.2,2.2,3,4,0.16,0.14,0.12,15,1.08,0.79,24.74,0.22,0.22,0.2,0.58,0.59
,Banana,1,0,0,0,unit,1,6,108.45,1.31,0.32,18.24,2.11,13.91,1.05,0.06,0.05,0.05,6,0.43,0.31,9.9,0.09,0.09,0.08,0.23,0.24
India,Banana Chips,1,0,0,0,g,100,45,520,2,34,58,7,3,180,0.47,0.41,0.35,45,3.24,2.36,74.23,0.66,0.65,0.61,1.74,1.78
United Kingdom,Bangers and Mash,0,1,0,0,g,100,26,180,8.0,10.0,14.0,1.2,1.1,330,0.27,0.23,0.20,26.00,1.87,1.36,42.89,0.38,0.37,0.35,0.99,1.01
,Bangui Rice,0,0,0,1,unit,1,30,180,3,0.5,39,0.8,0.2,8,0.32,0.27,0.23,30,2.16,1.57,49.49,0.44,0.43,0.4,1.16,1.19
India,Bara (Vada),1,0,0,0,unit,1,12,90,2,5,9,1,0.5,110,0.13,0.11,0.09,12,0.86,0.63,19.79,0.18,0.17,0.16,0.46,0.47
,Barley,1,0,0,0,g,100,5,315.73,10.94,1.3,72.73,15.64,0.06,7.56,0.05,0.05,0.04,5,0.36,0.26,8.25,0.07,0.07,0.07,0.19,0.2
Australia,Barramundi,0,1,0,0,g,100,42,124,21.0,4.0,0.0,0.0,0.0,85,0.44,0.38,0.33,42.00,3.02,2.20,69.28,0.62,0.60,0.56,1.62,1.65
,Basella leaves,1,0,0,0,g,100,4,19.6,1.57,0.45,1.69,2.21,0.02,18.74,0.04,0.04,0.03,4,0.29,0.21,6.6,0.06,0.06,0.05,0.15,0.16
,Basmati Rice,0,0,0,1,g,100,12,365,7.1,0.7,80.0,1.3,0.1,5,0.13,0.11,0.09,12.00,0.86,0.63,19.79,0.18,0.17,0.16,0.48,0.49
,Basundi,1,0,0,0,g,100,55,225,6,11,26,0,15,70,0.58,0.5,0.43,55,3.96,2.89,90.72,0.81,0.79,0.74,2.13,2.17
India,Batata Vada,1,0,0,0,unit,1,20,155,3,7,20,2,1.5,180,0.21,0.18,0.16,20,1.44,1.05,32.99,0.29,0.29,0.27,0.77,0.79
,Bathua,0,0,0,1,unit,1,10,43,4.2,0.8,7.3,2.1,0,43,0.11,0.09,0.08,10,0.72,0.52,16.5,0.15,0.14,0.13,0.39,0.4
,Bathua leaves,1,0,0,0,g,100,4,27.72,2.5,0.44,1.59,4.01,0.52,10.75,0.04,0.04,0.03,4,0.29,0.21,6.6,0.06,0.06,0.05,0.15,0.16
India,Bathua Raita,1,0,0,0,g,100,25,80,3,4,7,1.5,3,120,0.26,0.23,0.19,25,1.8,1.31,41.24,0.37,0.36,0.34,0.97,0.99
,Bathua Saag,0,0,0,1,g,100,30,80,3,3,9,3,1.2,110,0.32,0.27,0.23,30,2.16,1.57,49.49,0.44,0.43,0.4,1.16,1.19
United States,BBQ Ribs,0,1,0,0,g,100,280,320,20,24,6,0,4,480,2.95,2.52,2.18,280,20.14,14.7,461.86,4.13,4.03,3.76,10.83,11.06
,BBQ Sauce,0,0,0,1,ml,100,18,170,1.0,0.3,40.0,1.0,35.0,880,0.19,0.16,0.14,18.00,1.30,0.94,29.69,0.27,0.26,0.24,0.70,0.71
,Bean scarlet,1,0,0,0,g,100,8,42.78,2.86,0.99,4.56,4.5,1.03,1.46,0.08,0.07,0.06,8,0.58,0.42,13.2,0.12,0.12,0.11,0.31,0.32
,Beans,0,0,0,1,unit,1,12,31,1.8,0.1,7,3.4,3.3,6,0.13,0.11,0.09,12,0.86,0.63,19.79,0.18,0.17,0.16,0.46,0.47
,Beans Poriyal,0,0,0,1,g,100,30,90,3,4,11,4,2.5,110,0.32,0.27,0.23,30,2.16,1.57,49.49,0.44,0.43,0.4,1.16,1.19
,Bebinca,1,0,0,0,unit,1,25,210,3,8,30,0.5,18,40,0.26,0.23,0.19,25,1.8,1.31,41.24,0.37,0.36,0.34,0.97,0.99
India,Bedmi Puri,1,0,0,0,unit,1,35,230,6,9,31,2.5,1.5,210,0.37,0.32,0.27,35,2.52,1.84,57.73,0.52,0.5,0.47,1.35,1.38
,Beef,0,1,0,0,g,100,20,126.06,17.35,6.28,0,0,0,74.86,0.21,0.18,0.16,20,1.44,1.05,32.99,0.29,0.29,0.27,0.77,0.79
United States,Beef Burger,0,1,0,0,unit,1,130,325,17.0,16.0,29.0,1.5,5.0,720,1.37,1.17,1.01,130.00,9.35,6.82,214.44,1.92,1.87,1.75,5.03,5.14
,Beef Curry,0,1,0,0,g,100,120,230,18,16,4,0.5,1,320,1.26,1.08,0.94,120,8.63,6.3,197.94,1.77,1.73,1.61,4.64,4.74
India,Beef Fry,0,1,0,0,g,100,120,250,18,18,4,0.5,1,360,1.26,1.08,0.94,120,8.63,6.3,197.94,1.77,1.73,1.61,4.64,4.74
,Beetroot,1,0,0,0,g,100,4,35.61,1.95,0.14,6.04,3.31,4.35,69.44,0.04,0.04,0.03,4,0.29,0.21,6.6,0.06,0.06,0.05,0.15,0.16
,Beetroot leaves,1,0,0,0,g,100,4,34.66,2.38,0.75,2.18,3.64,0.13,111,0.04,0.04,0.03,4,0.29,0.21,6.6,0.06,0.06,0.05,0.15,0.16
,Beguni,1,0,0,0,unit,1,12,120,2,6,14,1.5,1,140,0.13,0.11,0.09,12,0.86,0.63,19.79,0.18,0.17,0.16,0.46,0.47
,Bekang (Fermented Soybean),0,0,0,1,g,100,50,150,11,8,10,3,1,170,0.53,0.45,0.39,50,3.6,2.62,82.48,0.74,0.72,0.67,1.93,1.98
India,Bela Pana,0,0,0,1,ml,100,15,55,0.3,0,13,0.5,11,5,0.16,0.14,0.12,15,1.08,0.79,24.74,0.22,0.22,0.2,0.58,0.59
Belgium,Belgian Waffles,1,0,0,0,unit,1,20,210,4.6,10.0,25.0,0.8,8.0,220,0.21,0.18,0.16,20.00,1.44,1.05,32.99,0.29,0.29,0.27,0.77,0.79
,Bengal gram,1,0,0,0,g,100,8.46,308.08,20.16,5.21,39.1,20.18,1.01,23.7,0.09,0.08,0.07,8.46,0.61,0.44,13.95,0.12,0.12,0.11,0.33,0.33
,Berma (Fermented Fish),0,1,0,0,g,100,90,140,16,6,2,0,0.5,480,0.95,0.81,0.7,90,6.48,4.72,148.46,1.33,1.3,1.21,3.48,3.56
India,Besan Masala Roti,1,0,0,0,unit,1,20,160,5,4,24,2,1,130,0.21,0.18,0.16,20,1.44,1.05,32.99,0.29,0.29,0.27,0.77,0.79
,Besan Roti,0,0,0,1,unit,1,18,140,6,2.5,21,3,1,140,0.19,0.16,0.14,18,1.3,0.94,29.69,0.27,0.26,0.24,0.7,0.71
India,Besara,1,0,0,0,g,100,30,95,2.5,5,10,2.5,1.5,140,0.32,0.27,0.23,30,2.16,1.57,49.49,0.44,0.43,0.4,1.16,1.19
,Betel leaves,1,0,0,0,g,100,4,46.01,2.56,0.75,6.08,2.04,0.39,15.42,0.04,0.04,0.03,4,0.29,0.21,6.6,0.06,0.06,0.05,0.15,0.16
,Betki,1,0,0,0,g,100,30,67.88,15.28,0.29,0,0,0,63.68,0.32,0.27,0.23,30,2.16,1.57,49.49,0.44,0.43,0.4,1.16,1.19
,Bhaat (Rice),0,0,0,1,unit,1,20,180,3,0.5,40,0.6,0.1,5,0.21,0.18,0.16,20,1.44,1.05,32.99,0.29,0.29,0.27,0.77,0.79
,Bhajia,1,0,0,0,unit,1,12,120,2,6,14,1.2,1,145,0.13,0.11,0.09,12,0.86,0.63,19.79,0.18,0.17,0.16,0.46,0.47
,Bhakri,0,0,0,1,unit,1,15,120,3,1,24,2,0.4,20,0.16,0.14,0.12,15,1.08,0.79,24.74,0.22,0.22,0.2,0.58,0.59
India,Bharli Vangi,1,0,0,0,g,100,45,177,3.1,14.92,8.5,5.71,3.2,240,0.47,0.41,0.35,45,3.24,2.36,74.23,0.66,0.65,0.61,1.74,1.78
,Bharwa Baingan,0,0,0,1,g,100,45,150,3,10,12,4,2.5,170,0.47,0.41,0.35,45,3.24,2.36,74.23,0.66,0.65,0.61,1.74,1.78
India,Bhatt Ki Churkani,1,0,0,0,g,100,35,150,8,5,15,4,1,150,0.37,0.32,0.27,35,2.52,1.84,57.73,0.52,0.5,0.47,1.35,1.38
,Bhel Puri,0,0,0,1,g,100,15,210,5.0,7.0,31.0,3.0,4.0,320,0.16,0.14,0.12,15.00,1.08,0.79,24.74,0.22,0.22,0.20,0.59,0.60
,Bhindi Fry,0,0,0,1,g,100,35,115,2,7,11,3,2,140,0.37,0.32,0.27,35,2.52,1.84,57.73,0.52,0.5,0.47,1.35,1.38
India,Bhindi Masala,0,0,0,1,g,100,18,110,2.4,6.0,11.0,3.2,2.4,210,0.19,0.16,0.14,18.00,1.30,0.94,29.69,0.27,0.26,0.24,0.70,0.71
,Bhopali Gosht Korma,0,1,0,0,g,100,180,260,16,18,6,0.8,1.5,370,1.9,1.62,1.4,180,12.95,9.45,296.91,2.65,2.59,2.42,6.96,7.11
,Bhopali Pulao,1,0,0,0,unit,1,110,430,8,14,66,3,4,360,1.16,0.99,0.86,110,7.91,5.77,181.45,1.62,1.58,1.48,4.26,4.35
India,Bhutte Ka Kees,0,0,0,1,g,100,35,160,4,8,18,2,5,180,0.37,0.32,0.27,35,2.52,1.84,57.73,0.52,0.5,0.47,1.35,1.38
South Korea,Bibimbap,0,1,0,0,g,100,32,160,6.0,4.8,22.0,1.6,2.2,260,0.34,0.29,0.25,32.00,2.30,1.68,52.78,0.47,0.46,0.43,1.25,1.28
Malta,Bigilla,0,0,0,1,g,100,14,140,7.2,4.0,18.0,5.0,1.2,160,0.15,0.13,0.11,14.00,1.01,0.73,23.09,0.21,0.20,0.19,0.55,0.56
India,Bikaneri Bhujia,0,0,0,1,g,100,50,540,11,35,45,4,2,550,0.53,0.45,0.39,50,3.6,2.62,82.48,0.74,0.72,0.67,1.93,1.98
India,Bisi Bele Bath,1,0,0,0,unit,1,90,320,8,9,52,6,4,420,0.95,0.81,0.7,90,6.48,4.72,148.46,1.33,1.3,1.21,3.48,3.56
